Id_hecho,Cantidad_victimas,Fecha,Año,Mes,Dia,Hora,Franja_horaria,Tipo_calle,Calle,Cruce,Direccion_normalizada,Comuna,Pos_x,Pos_y,Acusado,Rol,Victima,Sexo,Edad,Nro_dia_semana,Dia_semana,Fin_semana,Rango_horario
2016-0001,1,2016-01-01,2016,1,1,04:00:00,4,AVENIDA,PIEDRA BUENA AV.,SI,"PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47533969,-34.68757022,AUTO,CONDUCTOR,MOTO,MASCULINO,19,5,Viernes,NO,3-5.59
2016-0002,1,2016-01-02,2016,1,2,01:15:00,1,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,PASAJEROS,CONDUCTOR,AUTO,MASCULINO,70,6,Sábado,SI,0-2.59
2016-0003,1,2016-01-03,2016,1,3,07:00:00,7,AVENIDA,ENTRE RIOS AV.,NO,ENTRE RIOS AV. 2034,1,-58.39040293,-34.63189362,AUTO,CONDUCTOR,MOTO,MASCULINO,30,7,Domingo,SI,6-8.59
2016-0004,1,2016-01-10,2016,1,10,00:00:00,0,AVENIDA,LARRAZABAL AV.,SI,"LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",8,-58.46503904,-34.68092974,AUTO,CONDUCTOR,MOTO,MASCULINO,18,7,Domingo,SI,0-2.59
2016-0005,1,2016-01-21,2016,1,21,05:20:00,5,AVENIDA,SAN JUAN AV.,SI,"SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",1,-58.38718297,-34.62246630,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,29,4,Jueves,NO,3-5.59
2016-0008,1,2016-01-24,2016,1,24,18:30:00,18,AVENIDA,27 DE FEBRERO AV.,SI,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,30,7,Domingo,SI,18-21.59
2016-0009,1,2016-01-24,2016,1,24,19:10:00,19,CALLE,NOGOYA,SI,"NOGOYA y GONZALEZ, JOAQUIN V.",11,-58.50095869,-34.60825440,AUTO,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29,7,Domingo,SI,18-21.59
2016-0010,1,2016-01-29,2016,1,29,15:20:00,15,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,AUTO,CONDUCTOR,MOTO,MASCULINO,18,5,Viernes,NO,15-17.59
2016-0012,1,2016-02-08,2016,2,8,01:20:00,1,AVENIDA,BELGRANO AV.,SI,"BELGRANO AV. e IRIGOYEN, BERNARDO DE",1,-58.38048577,-34.61303893,CARGAS,CONDUCTOR,MOTO,MASCULINO,22,1,Lunes,NO,0-2.59
2016-0013,1,2016-02-10,2016,2,10,11:30:00,11,AVENIDA,ENTRE RIOS AV.,NO,ENTRE RIOS AV. 1366,1,-58.39114932,-34.62477387,AUTO,PEATON,PEATON,MASCULINO,16,3,Miércoles,NO,9-11.59
